,review_id,text,labels
0,1,"Это был самый маленький по площади номер из всех отелей, где я останавливалась. Тем не менее, очень уютненький и комфортабельный мини отельчик. Мебель новая, все функционирует, удобно расположен. Учитывая дороговизну отелей Парижа, для эконом варианта вполне достойно.","[{'aspect': 'размер номера', 'sentiment': 'negative'}, {'aspect': 'уют', 'sentiment': 'positive'}, {'aspect': 'комфорт', 'sentiment': 'positive'}, {'aspect': 'мебель', 'sentiment': 'positive'}, {'aspect': 'функциональность', 'sentiment': 'positive'}, {'aspect': 'расположение', 'sentiment': 'positive'}, {'aspect': 'цена', 'sentiment': 'positive'}]"
1,2,"Понравилось всё!!! От персонала до оснащения номера!!! Модно,стильно,уютно. Огромный плазменный телевизор в номере, наличие банных принадлежностей (для мини-отеля это редкость), любезно предоставленная посуда,которая понадобилась в ходе проживания, ванная комната с просто блестящей сантехникой - всё это сложило невероятно приятное впечатление о гостинице!!! Девушка на ресепшене встретила с улыбкой, всё подробно объяснила, посоветовала. Желаю отелю дальнейшего процветания!Огромное спасибо за возможность прекрасно провести время!","[{'aspect': 'персонал', 'sentiment': 'positive'}, {'aspect': 'оснащение номера', 'sentiment': 'positive'}, {'aspect': 'дизайн', 'sentiment': 'positive'}, {'aspect': 'уют', 'sentiment': 'positive'}, {'aspect': 'телевизор', 'sentiment': 'positive'}, {'aspect': 'банные принадлежности', 'sentiment': 'positive'}, {'aspect': 'посуда', 'sentiment': 'positive'}, {'aspect': 'ванная комната', 'sentiment': 'positive'}, {'aspect': 'сантехника', 'sentiment': 'positive'}, {'aspect': 'ресепшен', 'sentiment': 'positive'}]"
2,3,"В сердце парижа, в 5 минутах ходьбы от Нотр-Дам, если есть желание пешком исследовать весь Париж, идеальное расположение.Отличные завтраки подают с 7 утра, правда, за дополнительные деньги. Всего шесть этажей, есть маленький лифт, с верхних этажей открываются прекрасные виды на Сену, собор и Сан мишель.","[{'aspect': 'расположение', 'sentiment': 'positive'}, {'aspect': 'завтрак', 'sentiment': 'mixed'}, {'aspect': 'лифт', 'sentiment': 'neutral'}, {'aspect': 'вид из окна', 'sentiment': 'positive'}]"
3,4,"Каждый раз находясь в Париже, выбираем с женой 13 округ и непременно отель Mercure Place d'Italie. Район, где весной цветет сирень, и всегда хочется прогуляться по близлежащим бульварам. Тихо, размеренно, спокойно и душевно - нотки настоящего Парижа. Рекомендую брать номер PRIVILEGE (во всех Mercure) - кровать более удобная, наличие кофемашины, ванная комната комфортнее и современнее и другие мелочи. Выбор именно этого отеля - расположение, отличный завтрак (действительно самый вкусный багет, который я пробовал во Франции), комфорт, внимательный персонал. Вообщем, ряд мелочей и плюсов, которые делают прибывание в данном отеле почти как дома. И совет - бронируйте заранее.","[{'aspect': 'расположение', 'sentiment': 'positive'}, {'aspect': 'атмосфера', 'sentiment': 'positive'}, {'aspect': 'номер', 'sentiment': 'positive'}, {'aspect': 'удобства в номере', 'sentiment': 'positive'}, {'aspect': 'завтрак', 'sentiment': 'positive'}, {'aspect': 'персонал', 'sentiment': 'positive'}, {'aspect': 'общий комфорт', 'sentiment': 'positive'}, {'aspect': 'бронирование', 'sentiment': 'neutral'}]"
4,5,"Хорошие двух спальные апартаменты для семьи из 4 человек. Персонал внимательный, вежливый. Недалеко торговый центр Сахара. Бесплатно на шатле (персональная комфортабельная машина) возила на пляж. Интернет летал.","[{'aspect': 'апартаменты', 'sentiment': 'positive'}, {'aspect': 'персонал', 'sentiment': 'positive'}, {'aspect': 'расположение', 'sentiment': 'positive'}, {'aspect': 'транспорт', 'sentiment': 'positive'}, {'aspect': 'интернет', 'sentiment': 'positive'}]"
5,6,"Всё понравилось, окружающее место хорошее. Пруд, церковь и всё такое. но спортзал какой-то куцый. Хоть бы турничок повесили. Тренажёров мало, штанги нет, со свободными весами грустно. И музыку бы туда.","[{'aspect': 'общее впечатление', 'sentiment': 'positive'}, {'aspect': 'окружающая территория', 'sentiment': 'positive'}, {'aspect': 'спортзал', 'sentiment': 'negative'}]"
6,7,"Что меня больше всего поразило? Эхо в номере. Пятиметровые потолки, комната большая - и, когда идешь в ванную, то звук шагов отдается эхом. Особняк 18 века, стены по полметра - и вечером такая тишина, будто ты вообще одна дома. Ванна такого размера, что в ней можно лечь на дне во весь рост. При этом в комнате окно небольшое -получается слегка темновато, а в ванной довольно широкое. Чисто, спокойно, в двух шагах от Мариинского театра. До метро далековато, конечно -если идти по делам, а не просто гулять в удовольствие по набережной канала Грибоедова. Тапочек нет, чайник и фен есть. Цена была смешная -но, наверно, потому, что несезон.Завтрак, к сожалению, несъедобен.","[{'aspect': 'эхо в номере', 'sentiment': 'negative'}, {'aspect': 'размер комнаты', 'sentiment': 'positive'}, {'aspect': 'тишина', 'sentiment': 'positive'}, {'aspect': 'размер ванны', 'sentiment': 'positive'}, {'aspect': 'освещение в комнате', 'sentiment': 'negative'}, {'aspect': 'освещение в ванной', 'sentiment': 'positive'}, {'aspect': 'чистота', 'sentiment': 'positive'}, {'aspect': 'расположение', 'sentiment': 'mixed'}, {'aspect': 'удобства в номере', 'sentiment': 'mixed'}, {'aspect': 'цена', 'sentiment': 'positive'}, {'aspect': 'завтрак', 'sentiment': 'negative'}]"
7,8,"Неплохое расположение, но очень плохой сервис, оформление номеров, плохая кухня. Места в наличии есть, в начале мы не поняли почему-ведь был пик сезона, но оказывается ответ один-качество. Цены выше среднего по городу","[{'aspect': 'расположение', 'sentiment': 'positive'}, {'aspect': 'сервис', 'sentiment': 'negative'}, {'aspect': 'оформление номеров', 'sentiment': 'negative'}, {'aspect': 'кухня', 'sentiment': 'negative'}, {'aspect': 'наличие мест', 'sentiment': 'positive'}, {'aspect': 'сезон', 'sentiment': 'neutral'}, {'aspect': 'качество', 'sentiment': 'negative'}, {'aspect': 'цены', 'sentiment': 'negative'}]"
8,9,"отдыхали с друзьями летом 2012. За те деньги, что мы заплатили лучше быть вряд ли может. В номерах чисто, уютно, сантехника в отличном состоянии. Отдельное спасибо завтракам. Во-первых, жаба душила их пропускать, раз уж оплачены, а значит, всё-таки просыпались не в 3 часа дня, во-вторых, достаточно плотные, чтобы через полчаса после прогулок не искать макдаки. Персонал внимательный, но не назойливый.","[{'aspect': 'цена', 'sentiment': 'positive'}, {'aspect': 'чистота номера', 'sentiment': 'positive'}, {'aspect': 'уют номера', 'sentiment': 'positive'}, {'aspect': 'сантехника', 'sentiment': 'positive'}, {'aspect': 'завтрак', 'sentiment': 'positive'}, {'aspect': 'персонал', 'sentiment': 'positive'}]"
9,10,"Останавливались в этом отеле неделю назад. В Санкт-Петербурге бывали не раз, останавливались в хороших местах и не очень, но данный отель превзошел все ожидания. Очень высокий уровень обслуживания, шикарное оформление номеров и общих зон - очень красивый каминный зал.Недаром этот отель единственный входит в цепочку Small Luxury Hotels of the World - он полностью соответствует. Очень уютный и красивый. К сожалению, не было времени посетить знаменитую террасу, но мы обязательно сделаем это в следующий раз.","[{'aspect': 'общее впечатление', 'sentiment': 'positive'}, {'aspect': 'уровень обслуживания', 'sentiment': 'positive'}, {'aspect': 'оформление номеров', 'sentiment': 'positive'}, {'aspect': 'оформление общих зон', 'sentiment': 'positive'}, {'aspect': 'уют', 'sentiment': 'positive'}, {'aspect': 'терраса', 'sentiment': 'neutral'}]"
